Cod_Producto,Descripcion,Unidad,Precio,Precio_IVA,Paga_Impuesto_IVA,Existencia,Observación,Campo1
1001,INTERRUPTOR_SIMPLE_10A_125/250V_BL_VETO,U,2.142857143,2.4,VERDADERO,0,INVENTARIO,
1003,INTERRUPTOR_SIMPLE_SOBREP._10A_125/250V_BL_VETO_CLICK,U,1.205357143,1.35,VERDADERO,0,INVENTARIO,
1004,INTERRUPTOR_DOBLE_10A_125/250V_BL_VETO,U,3.526785714,3.95,VERDADERO,0,INVENTARIO,
1006,INTERRUPTOR_TRIPLE_10A_125/250V_BL_VETO,U,4.642857143,5.2,VERDADERO,0,INVENTARIO,
1008,INTERRUPTOR_3P_32AMP_2_POS._CAMSCO,U,35,39.2,VERDADERO,0,INVENTARIO,
1009,INTERRUPTOR_3P_63AMP_3_POS._CAMSCO,U,37.05357143,41.5,VERDADERO,0,INVENTARIO,
101,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_30A,U,66.64,74.6368,VERDADERO,0,CATALOGO,
1010,INTERRUPTOR_2POSC._4PINES_15A_CAMSCO,U,2.455357143,2.75,VERDADERO,0,INVENTARIO,
1011,INTERRUPTOR_3POSC._6PINES_15A_CAMSCO,U,3.348214286,,FALSO,0,INVENTARIO,
1012,CONMUTADOR_SIMPLE_10A_125/250V_BL_VETO,U,2.321428571,2.6,VERDADERO,0,INVENTARIO,
1014,CONMUTADOR_DOBLE_10A_125/250V_BL_VETO,U,3.839285714,4.3,VERDADERO,0,INVENTARIO,
1017,PULSADOR_TIMBRE_10A_125/250V_BL_VETO,U,2.5,2.8,VERDADERO,0,INVENTARIO,
1018,PULSADOR_TIMBRE_SOBREP._10A_125/250V_BL_VETO_CLICK,U,1.339285714,1.5,VERDADERO,0,INVENTARIO,
102,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_40A,U,66.64,74.6368,VERDADERO,0,CATALOGO,
1020,DIMMER_SIMPLE_200W_BL_VETO,U,11.11607143,12.45,VERDADERO,0,INVENTARIO,
1021,SENSOR_MOV._180°_12M_SOBREP._MAVIJU,U,7.276785714,8.15,VERDADERO,0,INVENTARIO,
1022,SENSOR_MOV._360°_6M_SOBREP._SYLVANIA,U,5.892857143,6.6,VERDADERO,0,INVENTARIO,
1023,BOTONERA_ON/OFF_3P_15A_CAMSCO,U,5.714285714,6.4,VERDADERO,0,INVENTARIO,
1024,BOTONERA_ON/OFF_3P_30A_CAMSCO,U,6.696428571,7.5,VERDADERO,0,INVENTARIO,
1025,FOTOCELULA_JL-205C_120V/277V_8A/5A_1000W_MAVIJU,U,6.696428571,7.5,VERDADERO,0,INVENTARIO,
103,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_50A,U,66.64,74.6368,VERDADERO,0,CATALOGO,
104,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_60A,U,66.64,74.6368,VERDADERO,0,CATALOGO,
105,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_75A,U,78.53,87.9536,VERDADERO,0,CATALOGO,
106,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_80A,U,78.53,87.9536,VERDADERO,0,CATALOGO,
107,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_2_POLOS_100A,U,78.53,87.9536,VERDADERO,0,CATALOGO,
108,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_15A,U,117.74,131.8688,VERDADERO,0,CATALOGO,
109,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_20A,U,117.74,131.8688,VERDADERO,0,CATALOGO,
11,FUSIBLE_SOLAR_PV_DC_25A_(10X38),U,3.8,4.256,VERDADERO,0,CATALOGO,
